state,year,total_crimes,murder,rape,kidnapping,robbery,theft,riots,arson,source
Andaman & Nicobar,2001,1316,26,6,4,8,130,26,8,2001-2013
Andaman & Nicobar,2002,1216,34,4,4,14,98,22,4,2001-2013
Andaman & Nicobar,2003,1288,42,4,4,14,120,38,16,2001-2013
Andaman & Nicobar,2004,1496,30,20,6,6,206,18,18,2001-2013
Andaman & Nicobar,2005,1364,28,8,4,8,184,8,12,2001-2013
Andaman & Nicobar,2006,1352,8,12,10,10,202,20,18,2001-2013
Andaman & Nicobar,2007,1614,30,6,24,18,224,34,22,2001-2013
Andaman & Nicobar,2008,1764,16,24,34,28,256,32,30,2001-2013
Andaman & Nicobar,2009,1882,30,36,32,22,268,22,24,2001-2013
Andaman & Nicobar,2010,1960,18,48,20,14,242,22,24,2001-2013
Andaman & Nicobar,2011,1586,28,26,30,2,176,22,12,2001-2013
Andaman & Nicobar,2012,1366,30,24,16,4,142,16,8,2001-2013
Andaman & Nicobar,2013,1224,12,54,28,2,74,0,4,2001-2013
Andhra Pradesh,2001,260178,5204,1742,2364,1258,33502,6002,1744,2001-2013
Andhra Pradesh,2002,287220,5050,2004,2604,1296,38444,4280,1982,2001-2013
Andhra Pradesh,2003,313902,5334,1892,2970,1320,46816,4656,2098,2001-2013
Andhra Pradesh,2004,317512,5158,2032,3052,1192,47156,5080,1830,2001-2013
Andhra Pradesh,2005,314246,5500,1870,3224,1588,47556,4052,1934,2001-2013
Andhra Pradesh,2006,347818,5532,2098,4060,1358,47020,5832,2024,2001-2013
Andhra Pradesh,2007,350174,5330,2140,4194,1228,48782,3996,2352,2001-2013
Andhra Pradesh,2008,358550,5380,2514,3940,1246,50724,3860,2042,2001-2013
Andhra Pradesh,2009,360882,4898,2376,3916,1088,49384,4522,2078,2001-2013
Andhra Pradesh,2010,362876,5076,2724,4106,1100,53512,4462,1850,2001-2013
Andhra Pradesh,2011,379560,5616,2884,4308,1200,56534,4420,2042,2001-2013
Andhra Pradesh,2012,385044,5434,2682,3740,1336,54950,3756,1960,2001-2013
Andhra Pradesh,2013,436030,4968,3270,4238,1418,62064,3888,1864,2001-2013
Andhra Pradesh,2020,80,5,3,7,2,11,3,6,2020-2024
Andhra Pradesh,2021,57,0,3,1,4,14,3,2,2020-2024
Andhra Pradesh,2022,58,1,3,3,1,10,3,5,2020-2024
Andhra Pradesh,2023,52,3,2,1,1,4,1,2,2020-2024
Andhra Pradesh,2024,37,3,3,1,1,5,1,0,2020-2024
Arunachal Pradesh,2001,4684,166,66,166,168,886,48,26,2001-2013
Arunachal Pradesh,2002,4456,122,76,114,192,790,42,40,2001-2013
Arunachal Pradesh,2003,4122,154,62,136,120,740,14,20,2001-2013
Arunachal Pradesh,2004,4512,134,84,130,90,776,130,38,2001-2013
Arunachal Pradesh,2005,4608,162,70,116,154,1062,46,26,2001-2013
Arunachal Pradesh,2006,4588,120,74,150,148,902,12,40,2001-2013
Arunachal Pradesh,2007,4572,136,96,136,150,1026,32,44,2001-2013
Arunachal Pradesh,2008,4748,144,84,158,158,890,36,20,2001-2013
Arunachal Pradesh,2009,4724,118,118,124,110,762,104,56,2001-2013
Arunachal Pradesh,2010,4878,150,94,134,138,890,62,56,2001-2013
Arunachal Pradesh,2011,4572,130,84,186,128,828,98,68,2001-2013
Arunachal Pradesh,2012,4840,146,92,164,130,804,56,66,2001-2013
Arunachal Pradesh,2013,5552,138,150,284,150,1028,72,46,2001-2013
Assam,2001,73754,2712,1634,2960,1374,10734,5906,882,2001-2013
Assam,2002,72692,2506,1940,3190,1214,11110,6028,876,2001-2013
Assam,2003,76390,2382,2190,3256,1046,11050,6680,1354,2001-2013
Assam,2004,81350,2428,2342,3812,1010,11732,7230,758,2001-2013
Assam,2005,84012,2388,2476,3502,902,12738,5520,846,2001-2013
Assam,2006,87346,2414,2488,3650,1088,15640,5368,976,2001-2013
Assam,2007,90564,2748,2874,3942,992,15508,5202,760,2001-2013
Assam,2008,106666,2852,2876,4478,1136,16024,5200,886,2001-2013
Assam,2009,110626,2646,3262,5436,1360,15288,3616,952,2001-2013
Assam,2010,123336,2446,3442,6500,1324,15720,4366,874,2001-2013
Assam,2011,133428,2606,3400,7528,1674,16618,4656,1012,2001-2013
Assam,2012,155364,2736,3432,7624,1814,18788,10154,5660,2001-2013
Assam,2013,174372,2708,3874,9602,1846,21030,4858,1586,2001-2013
Bihar,2001,176864,7286,1776,4318,4406,19402,17212,1004,2001-2013
Bihar,2002,188080,7424,2080,4722,4576,20290,17350,1200,2001-2013
Bihar,2003,184526,7542,1970,4854,4926,20248,16058,1338,2001-2013
Bihar,2004,216120,7896,2780,6826,5972,22226,19586,1414,2001-2013
Bihar,2005,195700,6942,2294,5386,4748,21624,15342,1520,2001-2013
Bihar,2006,201330,6498,2464,5238,4338,23504,16518,1570,2001-2013
Bihar,2007,218840,6068,3110,5060,3574,23590,15924,1730,2001-2013
Bihar,2008,245338,6278,2604,6094,3184,26412,16198,1544,2001-2013
Bihar,2009,245862,6304,1858,6444,3238,30442,17108,1370,2001-2013
Bihar,2010,254906,6724,1590,7348,3076,31088,17618,1320,2001-2013
Bihar,2011,271792,6396,1868,8536,2762,32584,19536,1410,2001-2013
Bihar,2012,293228,7132,1854,9614,2532,35334,21742,1598,2001-2013
Bihar,2013,334910,6882,2256,11140,3042,42846,23862,1320,2001-2013
Bihar,2020,61,2,1,2,4,7,2,5,2020-2024
Bihar,2021,67,0,5,3,4,11,5,3,2020-2024
Bihar,2022,57,3,4,2,3,6,4,4,2020-2024
Bihar,2023,55,1,4,3,2,5,8,0,2020-2024
Bihar,2024,49,1,4,3,2,6,1,2,2020-2024
Chandigarh,2001,6794,30,36,112,44,3058,182,10,2001-2013
Chandigarh,2002,7612,62,36,108,52,3294,156,10,2001-2013
Chandigarh,2003,5612,42,36,64,24,2476,92,8,2001-2013
Chandigarh,2004,5778,44,38,108,12,2918,86,0,2001-2013
Chandigarh,2005,6266,36,66,108,24,2746,86,2,2001-2013
Chandigarh,2006,6252,24,38,130,68,2468,88,10,2001-2013
Chandigarh,2007,7286,38,44,104,74,3480,158,18,2001-2013
Chandigarh,2008,7862,34,40,100,46,3982,170,4,2001-2013
Chandigarh,2009,7110,44,58,80,54,3462,132,8,2001-2013
Chandigarh,2010,6746,42,62,76,134,2962,130,18,2001-2013
Chandigarh,2011,7084,48,54,116,136,3004,132,18,2001-2013
Chandigarh,2012,7212,42,54,174,126,3098,98,18,2001-2013
Chandigarh,2013,8154,44,90,522,124,3038,108,16,2001-2013
Chhattisgarh,2001,76920,1760,1918,414,676,9624,1742,430,2001-2013
Chhattisgarh,2002,75900,1688,1984,356,652,8604,1634,470,2001-2013
Chhattisgarh,2003,76898,1552,1796,354,662,8340,1406,302,2001-2013
Chhattisgarh,2004,83854,1854,1938,428,726,10028,1580,484,2001-2013
Chhattisgarh,2005,87266,2026,1980,492,802,11200,1786,428,2001-2013
Chhattisgarh,2006,90354,2196,1990,478,878,10524,1810,524,2001-2013
Chhattisgarh,2007,91690,2194,1964,488,854,10762,1762,506,2001-2013
Chhattisgarh,2008,102884,2338,1956,546,1000,12158,2288,604,2001-2013
Chhattisgarh,2009,102740,2166,1952,572,1108,11584,1914,670,2001-2013
Chhattisgarh,2010,109916,2130,2024,718,1104,11610,2184,638,2001-2013
Chhattisgarh,2011,114436,2220,2106,944,940,10630,1868,578,2001-2013
Chhattisgarh,2012,109196,1996,2068,900,824,10682,1820,660,2001-2013
Chhattisgarh,2013,113740,1890,2760,4470,702,10378,1572,656,2001-2013
